"time","x_coord","y_coord","latitude","longitude","rainfall"
"2019-09-01 12:00:00",408500,430500,53.7705550464844,-1.87102274998763,2.55076525894971
"2019-09-01 12:00:00",409500,430500,53.7705377635981,-1.85584900596003,2.74948773727873
"2019-09-01 12:00:00",410500,430500,53.7705185604069,-1.84067527862952,2.6295163391677
"2019-09-01 12:00:00",411500,430500,53.7704974369157,-1.82550156975363,2.59982738205489
"2019-09-01 12:00:00",412500,430500,53.7704743931299,-1.81032788108989,2.50767390018154
"2019-09-01 12:00:00",413500,430500,53.7704494290555,-1.79515421439582,2.46342224285532
"2019-09-01 12:00:00",414500,430500,53.770422544699,-1.77998057142893,2.28033050499504
"2019-09-01 12:00:00",415500,430500,53.7703937400673,-1.76480695394668,2.06658820623258
"2019-09-01 12:00:00",416500,430500,53.7703630151678,-1.74963336370654,1.97115008767895
"2019-09-01 12:00:00",417500,430500,53.7703303700086,-1.73445980246597,1.94514882425669
"2019-09-01 12:00:00",418500,430500,53.770295804598,-1.71928627198236,1.87173332733581
"2019-09-01 12:00:00",408500,431500,53.7795440712197,-1.8709951892599,2.63909045189343
"2019-09-01 12:00:00",409500,431500,53.7795267826795,-1.85581820283038,2.4166795718715
"2019-09-01 12:00:00",410500,431500,53.7795075732061,-1.84064123311015,2.34973011132787
"2019-09-01 12:00:00",411500,431500,53.7794864428045,-1.82546428185805,2.37503929950014
"2019-09-01 12:00:00",412500,431500,53.7794633914801,-1.81028735083289,2.20905477246446
"2019-09-01 12:00:00",413500,431500,53.7794384192389,-1.79511044179346,2.14684859455529
"2019-09-01 12:00:00",414500,431500,53.7794115260874,-1.77993355649856,2.04314930598395
"2019-09-01 12:00:00",415500,431500,53.7793827120325,-1.76475669670695,1.94006167329208
"2019-09-01 12:00:00",416500,431500,53.7793519770817,-1.74957986417737,1.79176201500623
"2019-09-01 12:00:00",417500,431500,53.7793193212429,-1.73440306066857,1.8078181541346
"2019-09-01 12:00:00",418500,431500,53.7792847445246,-1.71922628793923,1.78461734093199
"2019-09-01 12:00:00",408500,432500,53.7885330824333,-1.8709676135817,2.15030511564531
"2019-09-01 12:00:00",409500,432500,53.7885157882367,-1.85578738299142,2.11644542777904
"2019-09-01 12:00:00",410500,432500,53.7884965724784,-1.84060716912266,2.07592691077084
"2019-09-01 12:00:00",411500,432500,53.7884754351634,-1.82542697373554,2.06215578473198
"2019-09-01 12:00:00",412500,432500,53.7884523762972,-1.81024679859015,2.03257778571201
"2019-09-01 12:00:00",413500,432500,53.7884273958858,-1.79506664544658,1.90748980105239
"2019-09-01 12:00:00",414500,432500,53.7884004939355,-1.77988651606491,1.80289666736311
"2019-09-01 12:00:00",415500,432500,53.7883716704534,-1.76470641220518,1.78095436180511
"2019-09-01 12:00:00",416500,432500,53.788340925447,-1.74952633562744,1.63732880603379
"2019-09-01 12:00:00",417500,432500,53.7883082589241,-1.73434628809169,1.65159905349749
"2019-09-01 12:00:00",418500,432500,53.7882736708932,-1.71916627135793,1.70124342026338
"2019-09-01 12:00:00",408500,433500,53.7975220801264,-1.87094002294212,1.95959225177611
"2019-09-01 12:00:00",409500,433500,53.797504780271,-1.85575654643095,1.97878864379433
"2019-09-01 12:00:00",410500,433500,53.7974855582251,-1.84057308665354,1.92125248942623
"2019-09-01 12:00:00",411500,433500,53.7974644139939,-1.82538964537128,1.96345376287065
"2019-09-01 12:00:00",412500,433500,53.7974413475827,-1.81020622434558,1.87144757760035
"2019-09-01 12:00:00",413500,433500,53.7974163589975,-1.7950228253378,1.653818834673
"2019-09-01 12:00:00",414500,433500,53.7973894482447,-1.7798394501093,1.55565535903681
"2019-09-01 12:00:00",415500,433500,53.7973606153314,-1.76465610042142,1.52331033451542
"2019-09-01 12:00:00",416500,433500,53.797329860265,-1.7494727780355,1.44950609730573
"2019-09-01 12:00:00",417500,433500,53.7972971830535,-1.73428948471282,1.56777918910938
"2019-09-01 12:00:00",418500,433500,53.7972625837052,-1.71910622221467,1.69721519029498
"2019-09-01 12:00:00",408500,434500,53.8065110643004,-1.87091241733019,1.87440171280962
"2019-09-01 12:00:00",409500,434500,53.8064937587838,-1.85572569313671,1.88768245866836
"2019-09-01 12:00:00",410500,434500,53.8064745304478,-1.84053898568925,1.93944563300913
"2019-09-01 12:00:00",411500,434500,53.8064533792973,-1.82535229675048,1.96881929226222
"2019-09-01 12:00:00",412500,434500,53.8064303053378,-1.81016562808308,1.7868166743964
"2019-09-01 12:00:00",413500,434500,53.8064053085753,-1.79497898144973,1.64131461965651
"2019-09-01 12:00:00",414500,434500,53.8063783890163,-1.77979235861307,1.50746751927027
"2019-09-01 12:00:00",415500,434500,53.8063495466678,-1.76460576133572,1.4032060060796
"2019-09-01 12:00:00",416500,434500,53.8063187815372,-1.7494191913803,1.36252206777966
"2019-09-01 12:00:00",417500,434500,53.8062860936324,-1.73423265050941,1.57258881759326
"2019-09-01 12:00:00",418500,434500,53.806251482962,-1.71904614048561,1.7073629018391
"2019-09-01 12:00:00",408500,435500,53.8155000349568,-1.87088479673496,1.75651085362845
"2019-09-01 12:00:00",409500,435500,53.8154827237765,-1.85569482309648,1.72551155067404
"2019-09-01 12:00:00",410500,435500,53.8154634891476,-1.84050486621626,1.88828289406406
"2019-09-01 12:00:00",411500,435500,53.8154423310749,-1.8253149278583,1.90694525872038
"2019-09-01 12:00:00",412500,435500,53.8154192495639,-1.81012500978655,1.79152681495466
"2019-09-01 12:00:00",413500,435500,53.8153942446207,-1.79493511376497,1.58413128744985
