Time,F0014,F0014,F0014
and,mm,m/s,l/s
Date,Mean,Mean,Mean
23/09/2019 00:00,,0.68,
23/09/2019 00:15,262.47,0.69,482.33
23/09/2019 00:30,261,0.69,480.16
23/09/2019 00:45,262.06,0.68,476.27
23/09/2019 01:00,262.9,0.68,475.66
23/09/2019 01:15,261.8,0.68,478.59
23/09/2019 01:30,263.14,0.68,478.12
23/09/2019 01:45,261.24,0.68,475.73
23/09/2019 02:00,259.54,0.68,466.88
23/09/2019 02:15,260.44,0.67,466.58
23/09/2019 02:30,260.71,0.67,467.37
23/09/2019 02:45,258.35,0.66,454.34
23/09/2019 03:00,258.3,0.66,454.33
23/09/2019 03:15,256.23,0.65,440.98
23/09/2019 03:30,256.64,0.65,442.32
23/09/2019 03:45,254.69,0.65,437.18
23/09/2019 04:00,255.69,0.66,444.1
23/09/2019 04:15,254.03,0.66,442.13
23/09/2019 04:30,255.19,0.64,428.86
23/09/2019 04:45,254.84,0.63,425.26
23/09/2019 05:00,256.43,0.65,439.43
23/09/2019 05:15,256.38,0.64,433.38
23/09/2019 05:30,255.46,0.64,432.52
23/09/2019 05:45,254.72,0.63,422.13
23/09/2019 06:00,254.59,0.64,428.45
23/09/2019 06:15,255.32,0.63,426.3
23/09/2019 06:30,254.25,0.64,431.71
23/09/2019 06:45,254.87,0.65,437.56
23/09/2019 07:00,253.71,0.64,426.76
23/09/2019 07:15,254.9,0.64,431.96
23/09/2019 07:30,254.26,0.64,427.7
23/09/2019 07:45,253.49,0.64,428.69
23/09/2019 08:00,253.57,0.65,432.36
23/09/2019 08:15,253.43,0.64,425.37
23/09/2019 08:30,254.76,0.63,427.64
23/09/2019 08:45,255.22,0.64,429.22
23/09/2019 09:00,254.25,0.64,428.24
23/09/2019 09:15,254.2,0.63,424.23
23/09/2019 09:30,253.77,0.64,427.9
23/09/2019 09:45,253.29,0.64,430.74
23/09/2019 10:00,254.19,0.64,432.24
23/09/2019 10:15,254.55,0.65,435.96
23/09/2019 10:30,253.28,0.64,427.32
23/09/2019 10:45,253.45,0.65,432.38
23/09/2019 11:00,254.67,0.64,429.2
23/09/2019 11:15,253.32,0.64,424.46
23/09/2019 11:30,252.1,0.63,418.31
23/09/2019 11:45,253.75,0.64,428.69
23/09/2019 12:00,252.57,0.63,417.15
23/09/2019 12:15,253.45,0.63,423.15
23/09/2019 12:30,252.97,0.63,421.16
23/09/2019 12:45,253.47,0.63,422.73
23/09/2019 13:00,252.92,0.64,427.63
23/09/2019 13:15,253.56,0.64,428.79
23/09/2019 13:30,252.86,0.62,416.46
23/09/2019 13:45,251.78,0.61,404.4
23/09/2019 14:00,250.8,0.61,399.53
23/09/2019 14:15,247.92,0.59,384.67
23/09/2019 14:30,248.24,0.59,382.77
23/09/2019 14:45,250.07,0.59,387.2
23/09/2019 15:00,250.69,0.61,402.79
23/09/2019 15:15,251.14,0.62,409.98
23/09/2019 15:30,252.02,0.61,404.83
23/09/2019 15:45,253.47,0.63,424.11
23/09/2019 16:00,255.46,0.64,435.25
23/09/2019 16:15,257.06,0.67,454.04
23/09/2019 16:30,256.54,0.64,438.12
23/09/2019 16:45,256.38,0.64,431.44
23/09/2019 17:00,255.13,0.64,434.23
23/09/2019 17:15,255.16,0.65,436.52
23/09/2019 17:30,254.28,0.64,431.78
23/09/2019 17:45,252.87,0.63,418.38
23/09/2019 18:00,252.35,0.62,410.89
23/09/2019 18:15,252.3,0.62,414.64
23/09/2019 18:30,252.26,0.62,411.12
23/09/2019 18:45,253.14,0.64,427.26
23/09/2019 19:00,260.11,0.68,472.82
23/09/2019 19:15,262.48,0.67,469.69
23/09/2019 19:30,263.61,0.67,476.06
23/09/2019 19:45,265.36,0.68,483.74
23/09/2019 20:00,261.82,0.67,470.18
23/09/2019 20:15,258.76,0.66,452.69
23/09/2019 20:30,256.16,0.65,438.48
23/09/2019 20:45,257.42,0.67,455.59
23/09/2019 21:00,273.35,0.72,536.87
