"","Site","Avg_Cum_Flow","Percentage"
"1","F0012",16.91,0.55
"2","F0010",590.63,19.14
"3","F0101",1209.08,39.19
"4","F0014",1943.81,63
"5","F0016",2465.88,79.92
"6","F0022",3085.28,100
