"","Site","Avg_Cum_Flow","Percentage"
"1","F0012",25.75,0.59
"2","F0010",817.35,18.73
"3","F0101",1757.14,40.27
"4","F0014",2694.05,61.75
"5","F0016",3427.54,78.56
"6","F0022",4362.98,100
